,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n,TOTAL,Código de entidad,Código de sector,Tipo de gasto,Entidad,Sector,Cuenta,Subcuenta,Objeto,Ordinal,Rubro
0,2.0,,,,8072468471.0,201,2,Funcionamiento,Presidencia de la república,Presidencia de la república,Adquisición de bienes y servicios,,,,Adquisición de bienes y servicios
1,3.0,3.0,1.0,51,27000000000.0,201,2,Funcionamiento,Presidencia de la república,Presidencia de la república,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz,Fondo de programas especiales para la paz
2,3.0,3.0,1.0,77,580000000.0,201,2,Funcionamiento,Presidencia de la república,Presidencia de la república,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Transferencias para la estrategia de interacción y diálogo permanente entre las autoridades de orden territorial gobierno nacional y los ciudadanos,Transferencias para la estrategia de interacción y diálogo permanente entre las autoridades de orden territorial gobierno nacional y los ciudadanos
3,3.0,8.0,1.0,2,89000000.0,201,2,Funcionamiento,Presidencia de la república,Presidencia de la república,Transferencias corrientes,Becas y otros beneficios de educación,Becas y otros beneficios de educación,Transferencia convenios icetex,Transferencia convenios icetex
4,8.0,1.0,,,54826250.0,201,2,Funcionamiento,Presidencia de la república,Presidencia de la república,"Gastos por tributos. multas, sanciones e intereses de mora",Impuestos,,,Impuestos
5,8.0,4.0,3.0,,49000000.0,201,2,Funcionamiento,Presidencia de la república,Presidencia de la república,"Gastos por tributos. multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,Contribución nacional de valorización
6,204.0,1000.0,7.0,70506c,8613994178.0,201,2,Inversión,Presidencia de la república,Presidencia de la república,Impulsar el desarrollo integral de las poblaciones con enfoque diferencial desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento en la articulación interinstitucional e intersectorial para la formulación e implementación de políticas públicas que contribuyen al goce efectivo de los derechos de los sujetos de especial protección. nacional,7. actores diferenciales para el cambio c. instituciones hacia la interlocución con pueblos y comunidades,7. actores diferenciales para el cambio c. instituciones hacia la interlocución con pueblos y comunidades
7,210.0,1000.0,16.0,600014,107063636574.0,201,2,Inversión,Presidencia de la república,Presidencia de la república,Mecanismos de transición hacia la paz a nivel nacional y territorial desde el sector presidencia,Intersubsectorial gobierno,Apoyo a la gestión financiera para el desarrollo de programas y proyectos para la implementación del acuerdo final de paz. nacional,6. paz total e integral solución al problema de las drogas ilícitas,6. paz total e integral solución al problema de las drogas ilícitas
8,214.0,1000.0,2.0,600030,200000000.0,201,2,Inversión,Presidencia de la república,Presidencia de la república,"Fortalecimiento de las capacidades de articulación estratégica. modernización, eficiencia administrativa, transparencia y acceso a la información desde el sector presidencia",Intersubsectorial gobierno,Consolidacion de la accion integral contra minas antipersonal a nivel nacional,6. paz total e integral /3. desescalamiento de la violencia,6. paz total e integral /3. desescalamiento de la violencia
9,214.0,1000.0,3.0,53105a,13680000.0,201,2,Inversión,Presidencia de la república,Presidencia de la república,"Fortalecimiento de las capacidades de articulación estratégica. modernización, eficiencia administrativa, transparencia y acceso a la información desde el sector presidencia",Intersubsectorial gobierno,Contribución para la implementacion de estrategias en materia de políticas públicas de transparencia y corrupción a nivel nacional,5. convergencia regional/a lucha contra la corrupción en las entidades públicas nacionales y territoriales,5. convergencia regional/a lucha contra la corrupción en las entidades públicas nacionales y territoriales
10,214.0,1000.0,4.0,20109c,752137246.0,201,2,Inversión,Presidencia de la república,Presidencia de la república,"Fortalecimiento de las capacidades de articulación estratégica. modernización, eficiencia administrativa, transparencia y acceso a la información desde el sector presidencia",Intersubsectorial gobierno,Fortalecimiento de las entidades de la rama ejecutiva para diseñar implementar y evaluar una cultura de respeto y garantía en materia de derechos humanos y derecho internacional humanitario. nacional,2. seguridad humana y justicia social/c. respeto a los dd.hh. y al dih desde un enfoque diferencial,2. seguridad humana y justicia social/c. respeto a los dd.hh. y al dih desde un enfoque diferencial
11,299.0,1000.0,5.0,53105b,9616667.0,201,2,Inversión,Presidencia de la república,Presidencia de la república,Fortalecimiento de la gestión y dirección del sector presidencia,Fortalecimiento de las herramientas tecnológicas para el cumplimiento y soporte de los lineamientos establecidos por el gobierno en materia de tecnologías de la información nacional,Mejoramiento en la organización tecnica del archivo central del dapre a nivel bogota,5. convergencia regional/b entidades públicas territoriales y nacionales fortalecidas,5. convergencia regional/b entidades públicas territoriales y nacionales fortalecidas
12,3.0,4.0,2.0,12,53000000.0,209,2,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Presidencia de la república,Transferencias corrientes,Prestaciones para cubrir riesgos sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad y paternidad (no de pensiones),Incapacidades y licencias de maternidad y paternidad (no de pensiones)
13,8.0,1.0,,,1096400.0,209,2,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Presidencia de la república,"Gastos por tributos. multas, sanciones e intereses de mora",Impuestos,,,Impuestos
